Flight Information:
Launch Date:            	     	                       	Thursday, 06 August 2020	     	                   	           	Launch Time: 	     	             	05:00:05  	          	        	End of Ascent:	     	         	01:51:29
Station name:           	     	                       	                        	     	                   	           	Serialnumber:	     	             	20027497
Ground values:
Pressure:               	     	                       	915.9 hPa               	     	                   	           	Temperature: 	     	             	24.0 °C   	          	        	Humidity:     	     	         	36 %
Wind Direction:         	     	                       	221 °                   	     	                   	           	Wind Speed:  	     	             	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-117.008 °              	     	                   	           	Latitude:    	     	             	46.717 °  	          	        	Altitude:     	     	         	787 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                   	           	
Events:
Highest Point:          	     	                       	5.3 hPa                 	     	                   	           	36089 m
Tropopauses:            	     	                       	1.: 210.4 hPa           	     	                   	           	             	     	             	
Max Winds:              	     	                       	                        	     	                   	           	             	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]          	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	915.9	24.0                   	36                      	0.7  	221                	-117.007985	46.716807    	787  	787          	364.265   	240.706   	8.0     	25.3          	0.0  	46.7     	360     	1    	1.073966
1                       	915.1	24.3                   	35                      	1.0  	235                	-117.007864	46.716817    	795  	795          	364.990   	240.238   	8.0     	25.6          	7.6  	40.3     	081     	12   	1.072025
2                       	914.3	24.6                   	34                      	1.4  	242                	-117.007742	46.716827    	802  	802          	365.717   	239.771   	7.9     	25.9          	7.6  	39.7     	082     	24   	1.070088
3                       	913.5	24.8                   	34                      	1.7  	246                	-117.007621	46.716837    	810  	810          	366.429   	239.306   	7.8     	26.1          	7.6  	39.4     	082     	36   	1.068156
4                       	912.7	25.1                   	33                      	2.1  	249                	-117.007499	46.716847    	817  	817          	367.158   	238.841   	7.7     	26.4          	7.6  	39.3     	083     	48   	1.066229
5                       	911.9	25.4                   	32                      	2.4  	251                	-117.007377	46.716857    	825  	825          	367.887   	238.378   	7.6     	26.7          	7.6  	39.2     	083     	61   	1.064306
6                       	911.2	25.7                   	31                      	2.8  	253                	-117.007256	46.716867    	833  	833          	368.618   	237.916   	7.5     	27.0          	7.6  	39.2     	083     	73   	1.062387
7                       	910.4	25.9                   	31                      	3.1  	254                	-117.007134	46.716877    	840  	840          	369.393   	237.498   	7.3     	27.2          	7.6  	39.2     	083     	85   	1.060659
8                       	909.6	26.0                   	30                      	3.5  	255                	-117.007013	46.716887    	848  	848          	370.321   	237.248   	7.3     	27.2          	7.6  	39.1     	083     	97   	1.059559
9                       	908.8	26.0                   	30                      	3.8  	256                	-117.006891	46.716898    	855  	855          	371.264   	236.998   	7.3     	27.3          	7.6  	39.1     	083     	109  	1.058460
10                      	908.0	26.1                   	30                      	4.1  	256                	-117.006769	46.716908    	863  	863          	372.208   	236.749   	7.3     	27.3          	7.6  	39.1     	083     	121  	1.057362
11                      	907.2	26.1                   	30                      	4.5  	257                	-117.006648	46.716918    	870  	870          	373.152   	236.499   	7.3     	27.4          	7.6  	39.1     	083     	133  	1.056265
12                      	906.5	26.2                   	30                      	4.8  	257                	-117.006526	46.716928    	878  	878          	374.097   	236.251   	7.3     	27.5          	7.6  	39.1     	083     	145  	1.055169
13                      	905.7	26.2                   	30                      	5.2  	258                	-117.006405	46.716938    	886  	886          	375.042   	236.002   	7.3     	27.5          	7.6  	39.1     	083     	157  	1.054076
14                      	904.9	26.3                   	30                      	5.5  	258                	-117.006283	46.716948    	893  	893          	375.971   	235.754   	7.3     	27.6          	7.6  	39.1     	083     	169  	1.052984
15                      	904.1	26.3                   	30                      	5.9  	258                	-117.006147	46.716963    	901  	901          	376.917   	235.507   	7.3     	27.6          	7.6  	38.8     	083     	182  	1.051894
