Flight Information:
Launch Date:            	     	                        	Wednesday, 22 July 2020	     	                   	             	Launch Time: 	     	             	11:00:38	       	     	End of Ascent:	     	         	02:29:34
Station name:           	     	                        	                       	     	                   	             	Serialnumber:	     	             	20026336
Ground values:
Pressure:               	     	                        	978.6 hPa              	     	                   	             	Temperature: 	     	             	22.0 °C 	       	     	Humidity:     	     	         	92 %
Wind Direction:         	     	                        	190 °                  	     	                   	             	Wind Speed:  	     	             	1 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-96.836 °              	     	                   	             	Latitude:    	     	             	36.162 °	       	     	Altitude:     	     	         	316 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                       	     	                   	             	
Events:
Highest Point:          	     	                        	6.3 hPa                	     	                   	             	34678 m
Tropopauses:            	     	                        	1.: 119.4 hPa          	     	                   	             	             	     	             	
Max Winds:              	     	                        	                       	     	                   	             	             	     	             	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                     	Ws   	Wd                 	Long.        	Lat.         	Alt  	Geopot       	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range   	D
[sec]                   	[hPa]	[°C]                    	[%]                    	[m/s]	[°]                	[°]          	[°]          	[m]  	[m]          	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]     	[kg/m3]
0                       	978.6	22.0                    	92                     	1.4  	190                	-96.836043   	36.162341    	316  	316          	310.811 	261.230	20.6 	24.8          	0.0  	36.2     	360     	0       	1.155262
2                       	977.3	22.4                    	92                     	1.8  	196                	-96.835910   	36.162492    	327  	327          	311.868 	260.481	21.0 	25.3          	5.7  	29.4     	035     	24      	1.152043
4                       	976.0	22.9                    	91                     	2.2  	200                	-96.835778   	36.162643    	339  	339          	312.927 	259.736	21.3 	25.8          	5.7  	29.3     	035     	48      	1.148836
6                       	974.8	23.3                    	91                     	2.6  	203                	-96.835645   	36.162794    	350  	350          	313.990 	258.993	21.7 	26.3          	5.7  	29.3     	035     	71      	1.145640
8                       	973.5	23.5                    	90                     	3.0  	205                	-96.835513   	36.162944    	362  	362          	315.271 	258.484	21.8 	26.5          	5.7  	29.2     	035     	95      	1.143466
10                      	972.2	23.5                    	90                     	3.4  	206                	-96.835380   	36.163095    	373  	373          	316.729 	258.137	21.7 	26.5          	5.7  	29.2     	035     	118     	1.141987
12                      	971.0	23.5                    	89                     	3.8  	208                	-96.835248   	36.163246    	385  	385          	318.187 	257.789	21.6 	26.5          	5.7  	29.2     	035     	142     	1.140510
14                      	969.7	23.5                    	89                     	4.2  	209                	-96.835115   	36.163397    	396  	396          	319.645 	257.442	21.5 	26.5          	5.7  	29.2     	035     	165     	1.139034
16                      	968.4	23.5                    	88                     	4.5  	209                	-96.835005   	36.163531    	408  	407          	321.104 	257.095	21.4 	26.4          	5.7  	29.6     	035     	186     	1.137561
18                      	967.2	23.5                    	88                     	5.0  	210                	-96.834912   	36.163652    	419  	419          	322.564 	256.749	21.4 	26.4          	5.7  	30.2     	035     	206     	1.136089
20                      	966.0	23.5                    	88                     	5.4  	211                	-96.834819   	36.163773    	431  	430          	324.057 	256.437	21.3 	26.4          	5.7  	30.7     	035     	225     	1.134770
22                      	964.9	23.5                    	87                     	5.8  	211                	-96.834726   	36.163894    	442  	442          	325.522 	256.112	21.3 	26.4          	5.7  	31.1     	034     	245     	1.133322
24                      	963.8	23.5                    	87                     	6.2  	211                	-96.834633   	36.164014    	450  	450          	326.449 	255.783	21.3 	26.5          	4.0  	30.9     	034     	262     	1.131846
26                      	962.9	23.6                    	87                     	6.6  	212                	-96.834540   	36.164135    	458  	458          	327.442 	255.521	21.4 	26.5          	4.0  	30.6     	034     	280     	1.130671
28                      	962.0	23.6                    	87                     	7.0  	212                	-96.834447   	36.164256    	466  	466          	328.436 	255.259	21.4 	26.6          	4.0  	30.4     	034     	298     	1.129498
30                      	961.1	23.7                    	88                     	7.4  	212                	-96.834354   	36.164376    	474  	474          	329.430 	254.997	21.5 	26.6          	4.0  	30.2     	034     	315     	1.128326
32                      	960.3	23.7                    	88                     	7.4  	213                	-96.834261   	36.164497    	482  	482          	330.409 	254.735	21.5 	26.7          	4.0  	30.0     	034     	333     	1.127155
34                      	959.4	23.7                    	87                     	7.3  	213                	-96.834169   	36.164618    	490  	490          	331.398 	254.468	21.5 	26.7          	4.0  	29.8     	034     	351     	1.125976
36                      	958.5	23.8                    	87                     	7.3  	213                	-96.834076   	36.164739    	498  	498          	332.365 	254.179	21.5 	26.8          	4.0  	29.7     	034     	368     	1.124737
